S&P 500이란?,"S&P 500은 500개 대형기업의 주식을 포함한 지수입니다. 500개의 기업 중 대부분이 미국 기업입니다.
S&P 500은 지수 자체를 일컬을 뿐 아니라 지수에 포함된 해당 500개 기업 자체를 지칭하기도 합니다."
ETF란?,"상장지수 펀드(ETF)는 주식시장에서 거래가 가능한, 거래 목적의 펀드 상품입니다.
거래비용이 낮고, 세금이 적으며 주식과 비슷한 특징이 있어서 투자자산으로서 매력적입니다."
금리란?,"금리의 사전적인 정의는 빌려준 돈이나 예금에 붙는 이자율입니다.
금리에는 여러 가지 종류가 있는데, 여러 금리들이 서로 유기적인 관계를 맺으며 금리체계를 구성하고 있습니다."
"국채란?","국채는 국가가 국회의 의결을 얻어 공공 및 재정 투.융자 자금의 조성을 위해 발행하는 채권입니다.
정부의 사업 집행이나 자금조달을 목적으로 하는데, 목적에 따라 채권의 종류 및 이자의 계산방식이나 만기가 다르게 발행됩니다."
채권이란?,"정부, 공공 기관, 기업 등이 필요한 자금을 빌리면서 언제까지 갚겠다는 것을 표시하여 발행하는 증서입니다.
즉, 정해진 기간내에 빌린 돈과 이자를 갚겠다는 계약 형식인데, 대부와 비슷한 형식을 띕니다."
환율이란?,"환율은 서로 다른 통화의 교환 비율입니다.
환율의 종류에는 외환의 변동에 영향이 적은 고정 환율제와 시장의 추세에 따라 변동되는 변동 환율제가 있습니다."
명목환율,"명목환율이란 한 나라의 화폐가 외국의 화폐와 교환되는 비율을 말합니다. 즉, 자국 화폐로 표시한 외국 화폐의 상대적인 가치라고 말할 수 있습니다.
명목환율이 상승한다는 것은 자국 화폐의 가치가 외국 화폐 보다 상대적으로 떨어지는 것을 의미합니다."
실질환율,"실질환율이란 자국 화폐로 측정한 외국 상품의 상대적인 가치라고 할 수 있습니다.
실질환율이 상승한다는건 자국 상품의 가격이 외국 상품 보다 상대적으로 떨어짐에 따라, 수출경쟁력이 상승함을 뜻합니다."
고정환율제,고정환율제란 각국 화폐 사이의 환율을 일정 수준으로 고정시키는 제도입니다. 따라서 중앙은행이 환율을 유지하기 위해 외환시장에 개입하도록 합니다.
변동환율제,"변동환율제란 통화의 가치가 시장의 추세에 따라 변화하는 체계입니다. 
이 제도하에서 국제적인 경제적 거래는 항상 균형이 성립하게 됩니다."
서브프라임 모기지 사태란?,"2007년에 발생하여 미국의 초대형 모기지론(부동산담보대출을 지원) 대부업체들이 파산하면서 시작된, 미국만이 아닌 국제금융시장에 큰 타격을 불러온 연쇄적인 경제위기를 말합니다."
대공황이란?,"대공황은 미국 역사상 20세기 장기적으로 가장 길고, 깊게 스며드는 경제위기로 1929년부터 1939년까지 지속되었습니다.
검은 화요일로 알려진 월스트리트 대폭락(1929년 10월말)에 의하여 생긴 그 영향들은 사실상 세계의 모든 나라들에서 영향을 끼친 역사상 거대한 경제적 재난들 중의 하나입니다."
오일쇼크란?,"오일쇼크는 원유 값이 급등하여 전 세계 각국에 경제적 타격을 준 경제 위기를 말하며, 지금까지 대한민국에 가장 큰 영향을 끼친 2차례의 오일쇼크은 각각 1973년과 1978년에 일어났습니다."
보통주와 우선주의 차이점,"보통주는 많은 분들이 알고 있는 기본적인 주식의 형태로, 기업이 발행하는 일반적인 형태의 주식을 의미하는데, 의결권을 가지고 있어 주주총회를 통해, 부분적으로 경영에 참여할 수 있다는 특징이 있습니다.
반면 우선주는 일반적으로 배당에 대한 우선권을 가지고 있는 주식을 의미하는데,보통주보다 우선순위로 배당을 받으며 회사 청산 때에도 잔여재산을 보통주보다 먼저 분배 받게 됩니다."
워렌버핏 명언 1,"남들이 욕심을 낼때 두려워하고, 남들이 두려워할때 욕심을 내라"
워렌버핏 명언 2,회사가 가장 어려운 시기에 있을때가 회사를 사야하는 가장 좋을때이다.
워렌버핏 명언 3,10년이상을 볼 것이 아니면 10분도 갖고있지말라
워렌버핏 명언 4,단순히 인기가 없다고 그 업종이나 주식이 좋은 이유는 없다. 역투자는 관중을 따라가는 투자와 마찬가지로 멍청한 짓이다.
워렌버핏 명언 5,12시 자정이 넘어가면 다 휴지조각으로 변하는데도 당장 보이는 성공적인 수익에는 눈이 멀어 발을 빼야할 때 못 빼는 미련한 짓을 하면 안된다.
워렌버핏 명언 6,경제는 나같은 부자를 더 부자로 만들어 주지만 가난한 사람에게 작동하지 않기에 기부가 필요하다.
워렌버핏 명언 7,"성공하는 사람들과 정말로 성공하는 사람들의 차이는, 정말로 성공하는 사람들은 거의 모든것에 NO라고 말하는 것이다."
워렌버핏 명언 8,사람들이 공포감에 빠져있을 때 욕심을 부려라. 거꾸로 사람들이 탐욕을 부릴 때에는 공포를 느껴라. 그러나 자신이 시장보다 더 똑똑하다는 오만함은 버려라.
워렌버핏 명언 9,명성을 쌓는데는 20년이라는 세월이 걸리지만 명성을 무너뜨리는데는 5분도 걸리지 않는다. 그걸 명심하면 네 행동이 달라질 것이다.
워렌버핏 명언 10,"진정한 성공이란, 내가 사랑해 줬으면 하는 사람이 나를 사랑해 주는 것이다."
워렌버핏 명언 11,"금은 어느정도까지 사람을 재미있게 하고, 좋은 곳으로 데려다 준다. 하지만 돈이 있다고 해서 당신을 사랑하는 사람이 더 늘어나거나 당신의 건강이 더 좋아질 일은 없다."
워렌버핏 명언 12,열정은 성공의 열쇠 성공은 환성의 나눔이다.
워렌버핏 명언 13,적절한 절제심이 적절한 지성의 틀과 결합했을 때 합리적 행동이 나온다.
워렌버핏 명언 14,하느님도 그렇지만 시장은 스스로 돕는자를 돕는다.
워렌버핏 명언 15,정직은 아주 비싼 재능이다. 싸구려 인간들에게 기대하지 마라.
워렌버핏 명언 16,위험은 자신이 무엇을 하는지 모르는 데서 온다.
워렌버핏 명언 17,오늘 누군가가 그늘에 앉아 쉴 수 있는 이유는 오래 전 누군가가 나무를 심었기 때문이다.
피터린치 명언 1, 스릴만점이라는 고성장 업종은 주가가 떨어지는 걸 지켜보는 것 외에는 실제로 아무런 스릴도 없다.
피터린치 명언 2, 급속하게 떨어지는 주식을 잡으려는 건 필연적으로 칼날 쪽을 잡게 되므로 고통스런 경악만을 가져다줄 뿐이다.
피터린치 명언 3, 사람들이 부동산에서 돈을 벌고 주식에선 돈을 잃는 이유가 있다.
피터린치 명언 4, 사람들은 누구나 주식으로 돈을 벌 지식을 가지고 있다.
피터린치 명언 5," 주식시장은 확신을 요구하며, 확신이 없는 사람들은 반드시 희생된다."
피터린치 명언 6," 무엇을 소유하고 있는지, 왜 그것을 소유하고 있는지 알아라."
피터린치 명언 7, 주식시장이 하락하는 것은 1월에 눈보라가 치는 것만큼이나 일상적인 일이다.
피터린치 명언 8," 골드 러시 때 대부분의 광부들은 손해를 보았지만, 곡갱이와 삽 그리고 텐트와 청바지를 판 사람들은 좋은 수익을 올렸다."
피터린치 명언 9, 매장을 방문하고 제품을 테스트하는 것은 애널리스트 업무의 중요한 요소이다.
피터린치 명언 10," 매력적인 기업을 찾을 수 없다면, 찾을 때까지 은행에 돈을 넣어두어라."
피터린치 명언 11, 우수한 기업의 주식을 보유할 때는 시간은 네 편이다.
피터린치 명언 12," 절박하게 팔면, 항상 싸게 팔게 된다."
피터린치 명언 13, 당신 스스로 직접 투자하기로 결정했따면 독자적인 길을 가야한다.
피터린치 명언 14, 당신이 약간의 신경만 쓰면 직장이나 동네 쇼핑상가 등에서 월스트리트 전문가들보다 훨씬 앞서 굉장한 종목들을 골라 가질 수 있다.
피터린치 명언 15, 주식투자는 과학이 아니라 예술이다.
피터린치 명언 16," 만약 매우 경쟁이 심하고 복잡한 업종에 속하며 뛰어난 경영진을 갖춘 우수한 회사의 주식을 갖는 것과, 아무 경쟁도 없는 단순한 산업에 속하며 평이한 경영진을 갖춘 평범한 회사의 주식을 갖는 것중에서 선택하라면 나는 후자를 택하겠다."
피터린치 명언 17, IQ로 볼 때 1류 투자자는 필시 상위권 3%와 하위권 10% 사이에 속할 것이다.
피터린치 명언 18, 은밀히 추천되는 주식들은 최면적 효과를 갖고 있어 그에 대한 얘기는 대개 감정적 호소력을 갖는다.
피터린치 명언 19, 극단적으로 높은 PER 비율은 마치 안장을 얹고 뛰는 경주용 말이 불리하듯 주식에 있어서도 거의 예외 없이 그렇다.
피터린치 명언 20," 10월 19일 시장이 붕괴하고 다음날, 사람들은 시장이 무너질 것이라고 걱정하기 시작했다."
피터린치 명언 21, 불확실성을 감수하고 주식에 투자하는 사람이 얻는 가장 커다란 이점은 올바른 선택에 대해 이례적인 보상을 받는다는 사실이다.
피터린치 명언 22," 주식투자로 성공하는 자질은 인내심, 자신감, 상식, 고통에 대한 내성, 초연함, 고집, 겸손, 유연성, 독자적으로 조사하려는 의지, 실수를 기꺼이 인정하는 태도, 전반적인 공포를 무시하는 능력이다."
피터린치 명언 23, 시장은 투자와 아무런 상관이 없다.
피터린치 명언 24, 폭락하기 직전에 시장에서 빠져나올 수 있다면 얼마나 근사할까? 하지만 아무도 폭락시점을 예측하지 못한다.
피터린치 명언 25," 우리가 97년 7월 1일에 주식에 10만달러를 투자하고 5년 동안 묻어두었다면, 10만달러는 34만 1722달러로 불어났을 것이다."
피터린치 명언 26, 아무리 훌륭한 회사라도 너무 비싸게 사면 위험한 투자가 된다.
피터린치 명언 27, 단지 주가가 올라간다고 해서 우리의 판단이 옳았다고 보면 안 된다.
피터린치 명언 28," 대다수의 사람들이 주식을 거들떠보지 않을 때가 비로소 주식을 사야 할 때이고, 반대로 사람들이 주식을 최고의 화제로 올리는 순간이 주식을 팔아야 할 때다."
