1994 Jan 1,"""Flying Karamzov Brothers"" closes at Helen Hayes NYC after 50 performances"
1994 Jan 1,"""Grand Night after Singing"" closes at Criterion NYC after 52 performances"
1994 Jan 1,Aleksandr Popov swims world record 100m free style (47.83)
1994 Jan 1,"Carquest Bowl 4: Boston College beats Virginia, 32-13"
1994 Jan 1,Howard Stern's New Year's Eve Beauty Pageant
1994 Jan 1,International Year of Family
1994 Jan 1,"Jacobs Field opens with ""Gateway's New Year's Eve Countdown to '94"""
1994 Jan 1,North American Free Trade Agreement (NAFTA) goes into effect
1994 Jan 1,The Zapatista Army of National Liberation initiates twelve days of armed conflict in the Mexican State of Chiapas.
1994 Jan 1,"80th Rose Bowl: #9 Wisconsin beats #14 UCLA, 21-16"
1994 Jan 1,"60th Sugar Bowl: #8 Florida beats #3 West Virginia, 41-7"
1994 Jan 1,"23rd Fiesta Bowl: #16 Arizona beats #10 Miami, 29-0"
1994 Jan 1,"60th Orange Bowl: #1 Florida State beats #2 Nebraska, 18-16"
1994 Jan 2,"""Abe Lincoln in Illinois"" closes at Beaumont NYC after 40 performances"
1994 Jan 2,"""Shakespeare after My Father"" closes at Helen Hayes NYC after 266 performances"
1994 Jan 2,"Battles between army & rebellious indians in South Mexico, kill 57"
1994 Jan 3,"""Gray's Anatomy"" closes at Beaumont Theater NYC after 13 performances"
1994 Jan 3,100s killed in Venezuela in prison revolt
1994 Jan 3,"Tupolev-154M crashes at Irkutsk, Siberia: 122 killed"
1994 Jan 3,"35-foot-tall Chief Wahoo, trademark of Indians on top of Stadium since 1962, is taken down, to be moved to Jacob's Field"
1994 Jan 3,"Restoration of South African citizenship, announced on 15 December 1993 by the South African parliament led by President F. W. de Klerk, becomes effective four months before the first South Africa non-racial polls of 27 April, 1994"
1994 Jan 3,Steve Young of the San Francisco 49ers becomes first quarterback to win 3 straight NFL passing titles despite a 37-34 OT loss to the Philadelphia Eagles; first to lodge 3 consecutive passer ratings of 100+
1994 Jan 4,"10th largest wrestling crowd (58,000-Tokyo Dome)"
1994 Jan 5,Aleksandr Popov swims world record 100m free style (47.82)
1994 Jan 5,"26th NAACP Image Awards: ""Sister Act"" wins Outstanding Motion Picture"
1994 Jan 6,"""The Government Inspector"" opens at Lyceum Theater NYC for 37 performances"
1994 Jan 6,Dow-Jones hits record 3803.88
1994 Jan 6,Ice skater Nancy Kerrigan is attacked by Tonya Harding's bodyguard
